user_id,session_id,timestamp,event,product_id,channel,price_x,location,device,category,price_y
U0001,S13278,2024-03-11 07:00:00,visit,P0193,Email,725.8,Hyderabad,desktop,Fashion,725.8
U0001,S13278,2024-03-11 07:05:00,visit,P0193,Email,725.8,Hyderabad,desktop,Fashion,725.8
U0001,S13278,2024-03-11 07:10:00,checkout,P0193,Email,725.8,Hyderabad,desktop,Fashion,725.8
U0028,S89593,2024-01-30 05:00:00,visit,P0193,Instagram,725.8,Mumbai,mobile,Fashion,725.8
U0028,S89593,2024-01-30 05:05:00,visit,P0193,Instagram,725.8,Mumbai,mobile,Fashion,725.8
U0028,S89593,2024-01-30 05:10:00,view_product,P0193,Instagram,725.8,Mumbai,mobile,Fashion,725.8
U0028,S89593,2024-01-30 05:15:00,checkout,P0193,Instagram,725.8,Mumbai,mobile,Fashion,725.8
U0256,S41808,2024-06-28 20:00:00,visit,P0193,Email,725.8,Bangalore,desktop,Fashion,725.8
U0256,S41808,2024-06-28 20:05:00,checkout,P0193,Email,725.8,Bangalore,desktop,Fashion,725.8
U0256,S41808,2024-06-28 20:10:00,purchase,P0193,Email,725.8,Bangalore,desktop,Fashion,725.8
U0440,S21146,2024-05-25 18:00:00,add_to_cart,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0440,S21146,2024-05-25 18:05:00,checkout,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0469,S29398,2024-05-29 13:00:00,checkout,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0469,S29398,2024-05-29 13:05:00,add_to_cart,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0469,S29398,2024-05-29 13:10:00,view_product,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0469,S29398,2024-05-29 13:15:00,add_to_cart,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0469,S29398,2024-05-29 13:20:00,add_to_cart,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0580,S59861,2024-01-13 14:00:00,view_product,P0193,Instagram,725.8,Hyderabad,desktop,Fashion,725.8
U0580,S59861,2024-01-13 14:05:00,view_product,P0193,Instagram,725.8,Hyderabad,desktop,Fashion,725.8
U0580,S59861,2024-01-13 14:10:00,view_product,P0193,Instagram,725.8,Hyderabad,desktop,Fashion,725.8
U0580,S59861,2024-01-13 14:15:00,purchase,P0193,Instagram,725.8,Hyderabad,desktop,Fashion,725.8
U0580,S59861,2024-01-13 14:20:00,visit,P0193,Instagram,725.8,Hyderabad,desktop,Fashion,725.8
U0643,S70788,2024-01-14 20:00:00,add_to_cart,P0193,Email,725.8,Chennai,mobile,Fashion,725.8
U0643,S70788,2024-01-14 20:05:00,purchase,P0193,Email,725.8,Chennai,mobile,Fashion,725.8
U0643,S70788,2024-01-14 20:10:00,view_product,P0193,Email,725.8,Chennai,mobile,Fashion,725.8
U0649,S93796,2024-03-29 13:00:00,add_to_cart,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0649,S93796,2024-03-29 13:05:00,view_product,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0649,S93796,2024-03-29 13:10:00,purchase,P0193,Instagram,725.8,Delhi,mobile,Fashion,725.8
U0810,S53387,2024-02-28 09:00:00,visit,P0193,Instagram,725.8,Chennai,desktop,Fashion,725.8
U0810,S53387,2024-02-28 09:05:00,purchase,P0193,Instagram,725.8,Chennai,desktop,Fashion,725.8
U0002,S21395,2024-05-31 13:00:00,visit,P0180,Instagram,3997.7,Chennai,desktop,Home,3997.7
U0002,S21395,2024-05-31 13:05:00,view_product,P0180,Instagram,3997.7,Chennai,desktop,Home,3997.7
U0004,S51347,2024-04-12 08:00:00,view_product,P0180,Instagram,3997.7,Chennai,desktop,Home,3997.7
U0004,S51347,2024-04-12 08:05:00,purchase,P0180,Instagram,3997.7,Chennai,desktop,Home,3997.7
U0024,S83060,2024-03-04 03:00:00,visit,P0180,Instagram,3997.7,Delhi,mobile,Home,3997.7
U0024,S83060,2024-03-04 03:05:00,add_to_cart,P0180,Instagram,3997.7,Delhi,mobile,Home,3997.7
U0024,S83060,2024-03-04 03:10:00,add_to_cart,P0180,Instagram,3997.7,Delhi,mobile,Home,3997.7
U0024,S83060,2024-03-04 03:15:00,add_to_cart,P0180,Instagram,3997.7,Delhi,mobile,Home,3997.7
U0024,S83060,2024-03-04 03:20:00,view_product,P0180,Instagram,3997.7,Delhi,mobile,Home,3997.7
U0044,S66450,2024-02-07 07:00:00,add_to_cart,P0180,Email,3997.7,Mumbai,mobile,Home,3997.7
U0044,S66450,2024-02-07 07:05:00,checkout,P0180,Email,3997.7,Mumbai,mobile,Home,3997.7
U0044,S66450,2024-02-07 07:10:00,visit,P0180,Email,3997.7,Mumbai,mobile,Home,3997.7
U0044,S66450,2024-02-07 07:15:00,visit,P0180,Email,3997.7,Mumbai,mobile,Home,3997.7
